Date,Content
2022-04-03 23:01:58+00:00,"b""@MythiaVTuber *hug virtual for you, miti\n\nI'm so sorry miti, jujur jam segitu udh tepar mulu aku dan maaf krn gak j\xe2\x80\xa6 https://t.co/BLhUJOwjCP"""
2022-04-03 22:44:12+00:00,b'@MythiaVTuber Teh ayo buka puasa bareng.'
2022-04-03 22:06:30+00:00,"b'Otsukare @AshariAriVTuber, @KeigoAria, @MythiaVTuber, thank you for the stream, maaf cuma mampir bentar walaupun cu\xe2\x80\xa6 https://t.co/o6oBbsvypB'"
2022-04-03 21:55:57+00:00,"b'@MythiaVTuber remember, just having fun, dont care about the chat, especially indonesia netizen, aku dh debatin jug\xe2\x80\xa6 https://t.co/MuIbsz4C3b'"
2022-04-03 21:44:48+00:00,b'@MythiaVTuber Gam ngikut stream miti dah mending turu semoga hari besok jadi lebih baik'
2022-04-03 21:42:49+00:00,"b'@MythiaVTuber Im so sorry mit, i was fall asleep\xf0\x9f\xa5\xba\nAnd semangat terus mit, orang orang yang kaya gitu semoga gaada l\xe2\x80\xa6 https://t.co/AmItqnV3Zl'"
2022-04-03 21:29:03+00:00,b'@MythiaVTuber Mitiiiiaw :((( SINI AKU BONK CHATNYA &gt;:O'
2022-04-03 21:27:09+00:00,"b'@MythiaVTuber Saya ga nonton stream terakhirnya, tolong konteksnya dong temen2'"
2022-04-03 21:18:03+00:00,"b'@MythiaVTuber Jngn peduliin toxic people mit,msh banyak orang yg care sma km'"
2022-04-03 21:15:39+00:00,b'@MythiaVTuber Semangat kak Miti'
2022-04-03 21:03:44+00:00,"b'@MythiaVTuber Otsuuu mit , jaga kesehatan dan met istirahat ~'"
2022-04-03 20:54:19+00:00,b'@MythiaVTuber Sahur dulu bre \xf0\x9f\x8d\xbb'
2022-04-03 20:49:28+00:00,"b'@MythiaVTuber Otsumiti, gapapa mitt istirahat lebih di utamakan, tetap jaga kesehatan miti. you have to be strong from all this\xf0\x9f\xa5\xba\xf0\x9f\x92\x9c'"
